Nuclide  InhFastEffDose[Sv/Bq] InhFastThyroid InhFastRedMarrow InhFastLung InhFastSkin ExtDepotGround[(Sv/year)/(Bq/m^2)]             
Cd-115m  5.3E-09     0     0     0     0     2.76E-09
In-111   1.3E-10     0     0     0     0     1.21E-08
In-113m  9.7E-12     0     0     0     0     7.47E-09
In-114   0     0     0     0     0     3.73E-09
In-114m  9.3E-09     0     0     0     0     2.69E-09
In-115   0.00000039     0     0     0     0     6.01E-12
In-115m  2.4E-11     0     0     0     0     4.77E-09
Sn-113   5.4E-10     0     0     0     0     4.22E-10
Sn-126   0.000000011     0     0     0     0     1.69E-09
Sb-124   1.3E-09     4.8E-10     2.3E-09     5.3E-10     3.7E-10     4.93E-08
Sb-125   1.4E-09     6.5E-10     3.5E-09     7.2E-10     4.9E-10     1.21E-08
Sb-126   0.000000001     3.3E-10     1.1E-09     3.7E-10     2.4E-10     7.78E-08
Sb-126m  1.2E-11     0     0     0     0     4.64E-08
Sb-127   4.3E-10     8E-11     5.1E-10     1E-10     6.7E-11     1.92E-08
Sb-129   1E-10     0     0     0     0     3.93E-08
Te-123   3.9E-09     0     0     0     0     1.98E-10
Te-125m  5.1E-10     0     0     0     0     5.83E-10
Te-127   3.9E-11     0     0     0     0     3.03E-10
Te-127m  1.5E-09     2.8E-09     7.4E-09     1.4E-10     1.1E-10     1.92E-10
Te-129   1.6E-11     0     0     0     0     3.35E-09
Te-129m  1.3E-09     4.1E-09     4.8E-09     2.2E-10     1.9E-10     1.77E-09
Te-131   2.3E-11     0     0     0     0     1.44E-08
Te-131m  8.6E-10     0.000000013     1.6E-10     9.1E-11     5E-11     3.88E-08
Te-132   1.8E-09     0.000000025     2.9E-10     2E-10     1.5E-10     6.78E-09
I-123    7.4E-11     0     0     0     0     5.03E-09
I-125    5.1E-09     0.0000001     1.2E-11     1.5E-11     1.2E-11     6.86E-10
I-129    0.000000036     0.00000071     4.8E-11     6.3E-11     4.4E-11     6.08E-10
I-131    7.4E-09     0.00000015     3.7E-11     6E-11     2.5E-11     1.11E-08
I-132    9.4E-11     1.4E-09     1.1E-11     3.6E-11     8.2E-12     6.42E-08
I-133    1.5E-09     0.000000028     1.8E-11     4.2E-11     1.4E-11     1.81E-08
I-134    4.5E-11     2.6E-10     5.5E-12     3E-11     4E-12     7.28E-08
I-135    3.2E-10     5.7E-09     1.7E-11     4E-11     1.3E-11     4.06E-08
Xe-127   0     0     0     0     0     8.15E-09
Xe-131m  0     0     0     0     0     5.05E-10
Xe-133   0     0     0     0     0     1.4E-09
Xe-133m  0     0     0     0     0     1.14E-09
Xe-135   0     0     0     0     0     7.97E-09
Xe-135m  0     0     0     0     0     1.24E-08
Xe-138   0     0     0     0     0     3.08E-08
